Nume,Prenume,Sex,Cod persoana,an,functie
Macavei,Săndel Lucian,M,133,2015,judecător
Macavei,Sorinela Alina,F,156,2015,judecător
Măiereanu,Iuliana,F,195,2015,judecător
Măniguţiu,Nicolae,M,76,2015,judecător
Marcu ,Simona Camelia,F,71,2015,judecător
Marin,Eugenia,F,72,2015,judecător
Matei,Ionuţ Mihai,M,75,2015,judecător
Mera,Luciana,F,180,2015,judecător
Mihăianu,Cosmin Horia,M,181,2015,judecător
Milăşan,Zoiţa,F,182,2015,judecător
Moglan,Raluca,F,78,2015,judecător
Motea,Aurelia,F,79,2015,judecător
Năstase,Tatiana Gabriela,F,157,2015,judecător
Năstasie,Veronica,F,196,2015,judecător
Negrilă,Georgeta Carmen,F,134,2015,judecător
Neniţă,Simona Cristina,F,158,2015,judecător
Nestor,Beatrice Ioana,F,81,2015,judecător
Nicolae,Adina-Georgeta,F,82,2015,judecător
Oana,Cristian Daniel,M,223,2015,judecător
Pantea,Paula,F,85,2015,judecător
Paraschiv,Mihaela,F,183,2015,judecător
Păun,Luiza Maria,F,137,2015,judecător
Petrişor,Nela,F,87,2015,judecător
Pietreanu,Simona Gina,F,184,2015,judecător
Pistol,Ştefan,M,88,2015,judecător
Poliţeanu,Mirela,F,160,2015,judecător
Popa,Rodica Aida,F,90,2015,judecător
Popescu,Doina,F,91,2015,judecător
Popoiag,Elena Carmen,F,95,2015,judecător
Puşcaşiu,Eugenia,F,139,2015,judecător
Râciu,Iuliana,F,101,2015,judecător
Rog,Lucia Tatiana,F,185,2015,judecător
Rotaru (Radu),Cristina,F,163,2015,judecător
Rusu,Aurelia,F,164,2015,judecător
Şelaru,Valentin Horia,M,187,2015,judecător
Şerban (Cismasiu),Leontina,F,188,2015,judecător
Sîrbu,Carmen,F,103,2015,judecător
Stănişor,Denisa Angelica,F,186,2015,judecător
Susanu,Rodica,F,141,2015,judecător
Tabârcă,Mihaela,F,110,2015,judecător
Ţăndăreanu,Nicoleta,F,197,2015,judecător
Ţăndărescu,Bianca Elena,F,165,2015,judecător
Teau,Carmen Trănica,F,111,2015,judecător
Trestianu ,Viorica,F,142,2015,judecător
Ţuca,Alina Iuliana,F,117,2015,judecător
Văleanu,Petronela Cristina,F,189,2015,judecător
Vartires,Dana Iarina,F,118,2015,judecător
Vasile,Francisca,F,198,2015,judecător
Vişan,Liliana,F,121,2015,judecător
Vişan,Mirela,F,190,2015,judecător
Vişoiu,Emilia Claudia,F,231,2015,judecător
Voicheci,Eugenia,F,191,2015,judecător
Voicu,Rodica Florica,F,143,2015,judecător
Vrânceanu,Romaniţa Ecaterina,F,122,2015,judecător
Zaharia,Rodica,F,192,2015,judecător
Zglimbea,Luminiţa,F,123,2015,judecător
Stanciu,Livia Doina,F,105,2015,preşedinte 
Curelea,Lavinia,F,32,2015,preşedinte secţia 1 civilă
Popa,Roxana,F,138,2015,preşedinte secţia 2 civilă
Barbă,Ionel,M,126,2015,preşedinte secţia contencios administrativ şi fiscal
Jîjîie,Corina,F,65,2015,preşedinte secţia penală
Tarcea,Cristina Iulia,F,109,2015,vicepreşedinte
Albu,Emanuel,M,6,2016,judecător
Alexandrescu,Anca Mădălina,F,193,2016,judecător
Arghir ,Christina Geanina,F,8,2016,judecător
Barbălată,Georgeta,F,10,2016,judecător
Bîrsan,Gabriela Victoria,F,5,2016,judecător
Bogasiu,Gabriela Elena,F,14,2016,judecător
Bogdan,Ioana,F,144,2016,judecător
Brânzan,Contantin,M,17,2016,judecător
Brehar,Paulina Licua,F,127,2016,judecător
Budă,Marian,M,18,2016,judecător
Canacheu,Claudiua Marcela,F,201,2016,judecător
Cârnaru,Simona Elena,F,202,2016,judecător
Cerbu,Silvia,F,166,2016,judecător
Cîrnu,Iulia Manuela,F,145,2016,judecător
Cobzariu,Maricela,F,167,2016,judecător
Condoiu,Minodora,F,146,2016,judecător
Constanda,Andreia Liana,F,29,2016,judecător
Constantinescu,Mariana,F,203,2016,judecător
Corbu,Corina Alina,F,147,2016,judecător
Cosma,Rodica,F,128,2016,judecător
Cosma,Viorica,F,149,2016,judecător
Cristescu,Simona ,F,168,2016,judecător
Dănăilă,Veronica Magdalena,F,170,2016,judecător
Dascălu,Ana Maria,F,33,2016,judecător
Dascălu,Lavinia,F,169,2016,judecător
Dinu,Florentina,F,204,2016,judecător
Dolache,Ileana Izabela,F,150,2016,judecător
Dorin,Rodica,F,171,2016,judecător
Dragne,Angela,F,36,2016,judecător
Dragomir,Florentina,F,151,2016,judecător
Dragu,Creţu,M,39,2016,judecător
Draguţ,Florentin Sorin,M,152,2016,judecător
Duican,Doina,F,130,2016,judecător
Duminecă,Virginia,F,205,2016,judecător
Duţă,Ruxandra Monica,F,172,2016,judecător
Encean,Simona Daniela,F,173,2016,judecător
Floarea,Elena,F,43,2016,judecător
Foitoş,Marius Dan,M,174,2016,judecător
Ghena ,Mariana,F,153,2016,judecător
Gherasim,Adriana,F,211,2016,judecător
Grădinaru,Daniel,M,198,2016,judecător
Grigoraş,Nina Ecaterina,F,55,2016,judecător
Hîncu,Cezar,M,175,2016,judecător
Iancu,Ana Hermina,F,154,2016,judecător
Ilie,Maria Carmen,F,58,2016,judecător
Ilie,Gheorghe Aurel,M,194,2016,judecător
Ilie ,Ioana Alina,F,176,2016,judecător
Ion,Eugenia,F,177,2016,judecător
Isailă,Mărioara,F,63,2016,judecător
Ivanovici,Laura Mihaela,F,178,2016,judecător
Lefterache,Lavinia Valeria,F,179,2016,judecător
Macavei,Săndel Lucian,M,133,2016,judecător
Macavei,Sorinela Alina,F,156,2016,judecător
Măiereanu,Iuliana,F,195,2016,judecător
Măniguţiu,Nicolae,M,76,2016,judecător
Marcu ,Simona Camelia,F,71,2016,judecător
Marin,Eugenia,F,72,2016,judecător
Matei,Ionuţ Mihai,M,75,2016,judecător
Mera,Luciana,F,180,2016,judecător
Mihăianu,Cosmin Horia,M,181,2016,judecător
Milăşan,Zoiţa,F,182,2016,judecător
Moglan,Raluca,F,78,2016,judecător
Năstase,Tatiana Gabriela,F,157,2016,judecător
Năstasie,Veronica,F,196,2016,judecător
Negrilă,Georgeta Carmen,F,134,2016,judecător
Neniţă,Simona Cristina,F,158,2016,judecător
Nestor,Beatrice Ioana,F,81,2016,judecător
Nicolae,Adina-Georgeta,F,82,2016,judecător
Oana,Cristian Daniel,M,223,2016,judecător
Pantea,Paula,F,85,2016,judecător
Paraschiv,Mihaela,F,183,2016,judecător
Păun,Luiza Maria,F,137,2016,judecător
Petrişor,Nela,F,87,2016,judecător
Pietreanu,Simona Gina,F,184,2016,judecător
Pistol,Ştefan,M,88,2016,judecător
Poliţeanu,Mirela,F,160,2016,judecător
Popa,Rodica Aida,F,90,2016,judecător
Popa,Roxana,F,138,2016,judecător
Popescu,Doina,F,91,2016,judecător
Popoiag,Elena Carmen,F,95,2016,judecător
Puşcaşiu,Eugenia,F,139,2016,judecător
Râciu,Iuliana,F,101,2016,judecător
Rog,Lucia Tatiana,F,185,2016,judecător
Rotaru (Radu),Cristina,F,163,2016,judecător
Rusu,Aurelia,F,164,2016,judecător
Şelaru,Valentin Horia,M,187,2016,judecător
Şerban (Cismasiu),Leontina,F,188,2016,judecător
Sîrbu,Carmen,F,103,2016,judecător
Stănişor,Denisa Angelica,F,186,2016,judecător
Susanu,Rodica,F,141,2016,judecător
Tabârcă,Mihaela,F,110,2016,judecător
Ţăndăreanu,Nicoleta,F,197,2016,judecător
Ţăndărescu,Bianca Elena,F,165,2016,judecător
Teau,Carmen Trănica,F,111,2016,judecător
Trestianu ,Viorica,F,142,2016,judecător
Ţuca,Alina Iuliana,F,117,2016,judecător
Văleanu,Petronela Cristina,F,189,2016,judecător
Vartires,Dana Iarina,F,118,2016,judecător
Vasile,Francisca,F,198,2016,judecător
Vişan,Liliana,F,121,2016,judecător
Vişan,Mirela,F,190,2016,judecător
Vişoiu,Emilia Claudia,F,231,2016,judecător
Vlad,Decebal Constantin,M,232,2016,judecător
Voicu,Rodica Florica,F,143,2016,judecător
Vrabie,Valentina,F,233,2016,judecător
Vrânceanu,Romaniţa Ecaterina,F,122,2016,judecător
Zaharia,Rodica,F,192,2016,judecător
Zglimbea,Luminiţa,F,123,2016,judecător
Tarcea,Cristina Iulia,F,109,2016,preşedinte
Curelea,Lavinia,F,32,2016,preşedinte secţia 1 civilă
Voicheci,Eugenia,F,191,2016,preşedinte secţia 2 civilă
Barbă,Ionel,M,126,2016,preşedinte secţia contencios administrativ şi fiscal
Popescu,Mirela Sorina,F,161,2016,preşedinte secţia penală
Dragomir,Ilie Iulian,M,37,2016,vicepreşedinte
Albu,Emanuel,M,6,2017,judecător
Alexandrescu,Anca Mădălina,F,193,2017,judecător
Arghir ,Christina Geanina,F,8,2017,judecător
Baciu,Mona Madgalena,F,199,2017,judecător
Bîrsan,Gabriela Victoria,F,5,2017,judecător
Bogdan,Ioana,F,144,2017,judecător
Brânzan,Contantin,M,17,2017,judecător
Brehar,Paulina Licua,F,127,2017,judecător
Budă,Marian,M,18,2017,judecător
Canacheu,Claudiua Marcela,F,201,2017,judecător
Cârnaru,Simona Elena,F,202,2017,judecător
Cerbu,Silvia,F,166,2017,judecător
Cîrnu,Iulia Manuela,F,145,2017,judecător
Cobzariu,Maricela,F,167,2017,judecător
Condoiu,Minodora,F,146,2017,judecător
Constanda,Andreia Liana,F,29,2017,judecător
Constantinescu,Mariana,F,203,2017,judecător
Corbu,Corina Alina,F,147,2017,judecător
Cosma,Rodica,F,128,2017,judecător
Cosma,Viorica,F,149,2017,judecător
Cristescu,Simona ,F,168,2017,judecător
Dănăilă,Veronica Magdalena,F,170,2017,judecător
Dascălu,Ana Maria,F,33,2017,judecător
Dascălu,Lavinia,F,169,2017,judecător
Dinu,Florentina,F,204,2017,judecător
Dolache,Ileana Izabela,F,150,2017,judecător
Dorin,Rodica,F,171,2017,judecător
Dragne,Angela,F,36,2017,judecător
Dragomir,Florentina,F,151,2017,judecător
Dragu,Creţu,M,39,2017,judecător
Draguţ,Florentin Sorin,M,152,2017,judecător
Duican,Doina,F,130,2017,judecător
Duminecă,Virginia,F,205,2017,judecător
Duţă,Ruxandra Monica,F,172,2017,judecător
Encean,Simona Daniela,F,173,2017,judecător
Enescu,Dan Andrei,M,206,2017,judecător
Epure,Constantin,M,207,2017,judecător
Farmathy,Geza Attila,M,208,2017,judecător
Floarea,Elena,F,43,2017,judecător
Florescu,George Bogdan,M,210,2017,judecător
Foitoş,Marius Dan,M,174,2017,judecător
Ghena ,Mariana,F,153,2017,judecător
Gherasim,Adriana,F,211,2015,judecător
Grădinaru,Daniel,M,198,2017,judecător
Grădinaru,Ianina Blandina,F,212,2017,judecător
Grecu,Mădălina Elena,F,213,2017,judecător
Grigoraş,Nina Ecaterina,F,55,2017,judecător
Hîncu,Cezar,M,175,2017,judecător
Hrudei,Maria,F,214,2017,judecător
Iancu,Ana Hermina,F,154,2017,judecător
Ilie,Maria Carmen,F,58,2017,judecător
Ilie,Gheorghe Aurel,M,194,2017,judecător
Ilie ,Ioana Alina,F,176,2017,judecător
Ion,Eugenia,F,177,2017,judecător
Ionescu,Marius Ionel,M,217,2017,judecător
Isailă,Mărioara,F,63,2017,judecător
Ivanovici,Laura Mihaela,F,178,2017,judecător
Lefterache,Lavinia Valeria,F,179,2017,judecător
Macavei,Săndel Lucian,M,133,2017,judecător
Macavei,Sorinela Alina,F,156,2017,judecător
Măiereanu,Iuliana,F,195,2017,judecător
Marchidan,Andreea,F,219,2017,judecător
Marcu ,Simona Camelia,F,71,2017,judecător
Marin,Eugenia,F,72,2017,judecător
Matei,Ionuţ Mihai,M,75,2017,judecător
Mera,Luciana,F,180,2017,judecător
Mihăianu,Cosmin Horia,M,181,2017,judecător
Moglan,Raluca,F,78,2017,judecător
Năstase,Tatiana Gabriela,F,157,2017,judecător
Năstasie,Veronica,F,196,2017,judecător
Negrilă,Georgeta Carmen,F,134,2017,judecător
Neniţă,Simona Cristina,F,158,2017,judecător
Nestor,Beatrice Ioana,F,81,2017,judecător
Nicolae,Adina-Georgeta,F,82,2017,judecător
Niţu,Petronela Iulia,F,222,2017,judecător
Oana,Cristian Daniel,M,223,2017,judecător
Oana,Cristian Daniel,M,223,2017,judecător
Pantea,Paula,F,85,2017,judecător
Paraschiv,Mihaela,F,183,2017,judecător
Păun,Luiza Maria,F,137,2017,judecător
Petrişor,Nela,F,87,2017,judecător
Pietreanu,Simona Gina,F,184,2017,judecător
Pistol,Ştefan,M,88,2017,judecător
Poliţeanu,Mirela,F,160,2017,judecător
Popa,Rodica Aida,F,90,2017,judecător
Popa,Roxana,F,138,2017,judecător
Popescu,Doina,F,91,2017,judecător
Popoiag,Elena Carmen,F,95,2017,judecător
Puşcaşiu,Eugenia,F,139,2017,judecător
Râciu,Iuliana,F,101,2017,judecător
Rog,Lucia Tatiana,F,185,2017,judecător
Rotaru (Radu),Cristina,F,163,2017,judecător
Rusu,Aurelia,F,164,2017,judecător
Secreţeanu,Adriana Florina,F,227,2017,judecător
Şelaru,Valentin Horia,M,187,2017,judecător
Şerban (Cismasiu),Leontina,F,188,2017,judecător
Severin ,Daniel Gheorghe,M,228,2017,judecător
Spineanu Matei,Octavia,F,104,2017,judecător
Stanişor,Denisa Angelica,F,186,2017,judecător
Susanu,Rodica,F,141,2017,judecător
Tabârcă,Mihaela,F,110,2017,judecător
Ţăndăreanu,Nicoleta,F,197,2017,judecător
Ţăndărescu,Bianca Elena,F,165,2017,judecător
Teau,Carmen Trănica,F,111,2017,judecător
Trestianu ,Viorica,F,142,2017,judecător
Ţuca,Alina Iuliana,F,117,2017,judecător
Văleanu,Petronela Cristina,F,189,2017,judecător
Vartires,Dana Iarina,F,118,2017,judecător
Vasile,Francisca,F,198,2017,judecător
Vişan,Liliana,F,121,2017,judecător
Vişan,Mirela,F,190,2017,judecător
Vişoiu,Emilia Claudia,F,231,2017,judecător
Vlad,Decebal Constantin,M,232,2017,judecător
Voicu,Rodica Florica,F,143,2017,judecător
Vrabie,Valentina,F,233,2017,judecător
Vrânceanu,Romaniţa Ecaterina,F,122,2017,judecător
Zaharia,Rodica,F,192,2017,judecător
Tarcea,Cristina Iulia,F,109,2017,preşedinte
Curelea,Lavinia,F,32,2017,preşedinte secţia 1 civilă
Voicheci,Eugenia,F,191,2017,preşedinte secţia 2 civilă
Barbă,Ionel,M,126,2017,preşedinte secţia contencios administrativ şi fiscal
Popescu,Mirela Sorina,F,161,2017,preşedinte secţia penală
Bogasiu,Gabriela Elena,F,14,2017,vicepreşedinte
Dragomir,Ilie Iulian,M,37,2017,vicepreşedinte
Alexandrescu,Anca Mădălina,F,193,2018,judecător
Arghir ,Christina Geanina,F,8,2018,judecător
Barbă,Ionel,M,126,2018,judecător
Bîrsan,Gabriela Victoria,F,5,2018,judecător
Bogdan,Ioana,F,144,2018,judecător
Brânzan,Contantin,M,17,2018,judecător
Brehar,Paulina Licua,F,127,2018,judecător
Budă,Marian,M,18,2018,judecător
Cerbu,Silvia,F,166,2018,judecător
Cîrnu,Iulia Manuela,F,145,2018,judecător
Cobzariu,Maricela,F,167,2018,judecător
Condoiu,Minodora,F,146,2018,judecător
Constanda,Andreia Liana,F,29,2018,judecător
Cosma,Rodica,F,128,2018,judecător
Cosma,Viorica,F,149,2018,judecător
Cristescu,Simona ,F,168,2018,judecător
Curelea,Lavinia,F,32,2018,judecător
Dănăilă,Veronica Magdalena,F,170,2018,judecător
Dascălu,Lavinia,F,169,2018,judecător
Dolache,Ileana Izabela,F,150,2018,judecător
Dorin,Rodica,F,171,2018,judecător
Dragne,Angela,F,36,2018,judecător
Dragomir,Florentina,F,151,2018,judecător
Dragu,Creţu,M,39,2018,judecător
Draguţ,Florentin Sorin,M,152,2018,judecător
Duţă,Ruxandra Monica,F,172,2018,judecător
Encean,Simona Daniela,F,173,2018,judecător
Floarea,Elena,F,43,2018,judecător
Foitoş,Marius Dan,M,174,2018,judecător
Ghena ,Mariana,F,153,2018,judecător
Grigoraş,Nina Ecaterina,F,55,2018,judecător
Hîncu,Cezar,M,175,2018,judecător
Iancu,Ana Hermina,F,154,2018,judecător
Ilie,Maria Carmen,F,58,2018,judecător
Ilie,Gheorghe Aurel,M,194,2018,judecător
Ilie ,Ioana Alina,F,176,2018,judecător
Ion,Eugenia,F,177,2018,judecător
Isailă,Mărioara,F,63,2018,judecător
Lefterache,Lavinia Valeria,F,179,2018,judecător
Macavei,Săndel Lucian,M,133,2018,judecător
Macavei,Sorinela Alina,F,156,2018,judecător
Măiereanu,Iuliana,F,195,2018,judecător
Marcu ,Simona Camelia,F,71,2018,judecător
Marin,Eugenia,F,72,2018,judecător
Matei,Ionuţ Mihai,M,75,2018,judecător
Mera,Luciana,F,180,2018,judecător
Mihăianu,Cosmin Horia,M,181,2018,judecător
Moglan,Raluca,F,78,2018,judecător
Năstase,Tatiana Gabriela,F,157,2018,judecător
Năstasie,Veronica,F,196,2018,judecător
Negrilă,Georgeta Carmen,F,134,2018,judecător
Neniţă,Simona Cristina,F,158,2018,judecător
Nestor,Beatrice Ioana,F,81,2018,judecător
Nicolae,Adina-Georgeta,F,82,2018,judecător
Pantea,Paula,F,85,2018,judecător
Paraschiv,Mihaela,F,183,2018,judecător
Păun,Luiza Maria,F,137,2018,judecător
Petrişor,Nela,F,87,2018,judecător
Pietreanu,Simona Gina,F,184,2018,judecător
Pistol,Ştefan,M,88,2018,judecător
Poliţeanu,Mirela,F,160,2018,judecător
Popa,Rodica Aida,F,90,2018,judecător
Popa,Roxana,F,138,2018,judecător
Popescu,Doina,F,91,2018,judecător
Popescu,Mirela Sorina,F,161,2018,judecător
Popoiag,Elena Carmen,F,95,2018,judecător
Puşcaşiu,Eugenia,F,139,2018,judecător
Rog,Lucia Tatiana,F,185,2018,judecător
Rotaru (Radu),Cristina,F,163,2018,judecător
Rusu,Aurelia,F,164,2018,judecător
Şelaru,Valentin Horia,M,187,2018,judecător
Şerban (Cismasiu),Leontina,F,188,2018,judecător
Stănişor,Denisa Angelica,F,186,2018,judecător
Susanu,Rodica,F,141,2018,judecător
Tabârcă,Mihaela,F,110,2018,judecător
Ţăndăreanu,Nicoleta,F,197,2018,judecător
Ţăndărescu,Bianca Elena,F,165,2018,judecător
Teau,Carmen Trănica,F,111,2018,judecător
Trestianu ,Viorica,F,142,2018,judecător
Ţuca,Alina Iuliana,F,117,2018,judecător
Văleanu,Petronela Cristina,F,189,2018,judecător
Vartires,Dana Iarina,F,118,2018,judecător
Vasile,Francisca,F,198,2018,judecător
Vişan,Liliana,F,121,2018,judecător
Vişan,Mirela,F,190,2018,judecător
Voicu,Rodica Florica,F,143,2018,judecător
Vrânceanu,Romaniţa Ecaterina,F,122,2018,judecător
Zaharia,Rodica,F,192,2018,judecător
Baciu,Mona Madgalena,F,199,2018,judecător
Brunel,Oana,F,200,2018,judecător
Canacheu,Claudiua Marcela,F,201,2018,judecător
Cârnaru,Simona Elena,F,202,2018,judecător
Constantinescu,Mariana,F,203,2018,judecător
Dinu,Florentina,F,204,2018,judecător
Duminecă,Virginia,F,205,2018,judecător
Enescu,Dan Andrei,M,206,2018,judecător
Epure,Constantin,M,207,2018,judecător
Farmathy,Geza Attila,M,208,2018,judecător
Filipescu,Virgina,F,209,2018,judecător
Florescu,George Bogdan,M,210,2018,judecător
Gherasim,Adriana,F,211,2018,judecător
Grădinaru,Ianina Blandina,F,212,2018,judecător
Grecu,Mădălina Elena,F,213,2018,judecător
Hrudei,Maria,F,214,2018,judecător
Ionescu,Marius Ionel,M,217,2018,judecător
Marchidan,Andreea,F,219,2018,judecător
Niţu,Petronela Iulia,F,222,2018,judecător
Oana,Cristian Daniel,M,223,2018,judecător
Pătraşcu,Horaţiu,M,224,2018,judecător
Rus,Alexandra Iuliana,F,225,2018,judecător
Rus,Andrei Claudiu,M,226,2018,judecător
Secreţeanu,Adriana Florina,F,227,2018,judecător
Severin ,Daniel Gheorghe,M,228,2018,judecător
Vişoiu,Emilia Claudia,F,231,2018,judecător
Vlad,Decebal Constantin,M,232,2018,judecător
Vrabie,Valentina,F,233,2018,judecător
Tarcea,Cristina Iulia,F,109,2018,preşedinte
Voicheci,Eugenia,F,191,2018,preşedinte secţia 2 civilă
Ivanovici,Laura Mihaela,F,178,2018,preşedinte secţia civilă 1
Corbu,Corina Alina,F,147,2018,preşedinte secţia contencios administrativ şi fiscal
Grădinaru,Daniel,M,198,2018,preşedinte secţia penală
Bogasiu,Gabriela Elena,F,14,2018,vicepreşedinte
Dragomir,Ilie Iulian,M,37,2018,vicepreşedinte
